time,Q,s,T
2008-04-15,-2.378615,0.0,0.0
2008-04-16,-2.463566,0.0,0.0
2008-04-17,-3.058219,0.0,0.0
2008-04-18,-3.114853,0.0,0.0
2008-04-19,-2.378615,0.0,0.0
2008-04-20,-2.180397,0.0,0.0
2008-04-21,-2.406932,0.0,0.0
2008-04-22,-2.746734,0.0,0.0
2008-04-23,-2.378615,0.0,0.0
2008-04-24,-2.321981,0.0,0.0
2008-04-25,-2.350298,0.0,0.0
2008-04-26,-2.237031,0.0,0.0
2008-04-27,-2.293665,0.0,0.0
2008-04-28,-2.406932,0.0,0.0
2008-04-29,-2.633467,0.0,0.0
2008-04-30,-2.15208,0.0,0.0
2008-05-01,-2.406932,0.0,0.0
2008-05-02,-2.491883,0.0,0.0
2008-05-03,-2.435249,0.0,0.0
2008-05-04,-2.491883,0.0,0.0
2008-05-05,-2.378615,0.0,0.0
2008-05-06,-2.378615,0.0,0.0
2008-05-07,-2.548516,0.0,0.0
2008-05-08,-2.548516,0.0,0.0
2008-05-09,-2.520199,0.0,0.0
2008-05-10,-2.576833,0.0,0.0
2008-05-11,-2.60515,0.0,0.0
2008-05-12,-2.520199,0.0,0.0
2008-05-13,-2.406932,0.0,0.0
2008-05-14,-2.350298,0.0,0.0
2008-05-15,-3.029903,0.0,0.0
2008-05-16,-4.077626,0.0,0.0
2008-05-17,-2.60515,0.0,0.0
2008-05-18,-2.775051,0.0,0.0
2008-05-19,-2.350298,0.0,0.0
2008-05-20,-2.548516,0.0,0.0
2008-05-21,-2.6901,0.0,0.0
2008-05-22,-2.746734,0.0,0.0
2008-05-23,-3.029903,0.0,0.0
2008-05-24,-2.775051,0.0,0.0
2008-05-25,-2.463566,0.0,0.0
2008-05-26,-2.548516,0.0,0.0
2008-05-27,-2.265348,0.0,0.0
2008-05-28,-1.868912,0.0,0.0
2008-05-29,-2.520199,0.0,0.0
2008-05-30,-3.709507,0.0,0.0
2008-05-31,-3.171487,0.0,0.0
2008-06-01,-2.60515,0.0,0.0
2008-06-02,-2.435249,0.0,0.0
2008-06-03,-2.60515,0.0,0.0
2008-06-04,-2.803368,0.0,0.0
2008-06-05,-2.775051,0.0,0.0
2008-06-06,-3.228121,0.0,0.0
2008-06-07,-3.228121,0.0,0.0
2008-06-08,-3.114853,0.0,0.0
2008-06-09,-3.114853,0.0,0.0
2008-06-10,-3.228121,0.0,0.0
2008-06-11,-3.511289,0.0,0.0
2008-06-12,-3.794457,0.0,0.0
2008-06-13,-3.511289,0.0,0.0
2008-06-14,-3.511289,0.0,0.0
2008-06-15,-3.398022,0.0,0.0
2008-06-16,-3.284754,0.0,0.0
2008-06-17,-3.398022,0.0,0.0
2008-06-18,-3.256437,0.0,0.0
2008-06-19,-3.369705,0.0,0.0
2008-06-20,-3.652873,0.0,0.0
2008-06-21,-3.482972,0.0,0.0
2008-06-22,-4.417428,0.0,0.0
2008-06-23,-4.360794,0.0,0.0
2008-06-24,-3.539606,0.0,0.0
2008-06-25,-3.454655,0.0,0.0
2008-06-26,-3.539606,0.0,0.0
2008-06-27,-3.482972,0.0,0.0
2008-06-28,-3.398022,0.0,0.0
2008-06-29,-3.482972,0.0,0.0
2008-06-30,-3.228121,0.0,0.0
2008-07-01,-3.171487,0.0,0.0
2008-07-02,-3.029903,0.0,0.0
2008-07-03,-3.199804,0.0,0.0
2008-07-04,-3.199804,0.0,0.0
2008-07-05,-3.199804,0.0,0.0
2008-07-06,-3.171487,0.0,0.0
2008-07-07,-3.199804,0.0,0.0
2008-07-08,-3.482972,0.0,0.0
2008-07-09,-3.313071,0.0,0.0
2008-07-10,-3.567923,0.0,0.0
2008-07-11,-3.567923,0.0,0.0
2008-07-12,-3.539606,0.0,0.0
2008-07-13,-3.313071,0.0,0.0
2008-07-14,-2.973269,0.0,0.0
2008-07-15,-3.14317,0.0,0.0
2008-07-16,-3.058219,0.0,0.0
2008-07-17,-3.199804,0.0,0.0
2008-07-18,-3.341388,0.0,0.0
2008-07-19,-3.313071,0.0,0.0
2008-07-20,-3.284754,0.0,0.0
2008-07-21,-3.341388,0.0,0.0
2008-07-22,-2.944952,0.0,0.0
2008-07-23,-3.284754,0.0,0.0
2008-07-24,-3.256437,0.0,0.0
2008-07-25,-3.14317,0.0,0.0
2008-07-26,-3.171487,0.0,0.0
2008-07-27,-3.398022,0.0,0.0
2008-07-28,-3.284754,0.0,0.0
